instance,ratio,k_mode,split_mode,converged,time,nodes,total_depth,depth_attempts,final_depth_iterations,total_iterations,m_states,Ff,Fb,min_frontier,max_frontier,min_over_m,max_over_m,geo_over_m,prod_over_m2,imbalance,iter0_fill_ratio,iter1_fill_ratio
4,0.5,optk,dynamic,True,6.5223,125173080,56,8,2,14,1840469.3333333333,2146844,15,15,2146844,8.150095048219585e-06,1.1664655102466617,0.0030833106847964983,9.50680477898025e-06,143122.93333333332,0.210712,4.34672e-06
4,0.5,optk,fixed,True,6.33075,125320166,56,8,2,14,1840469.3333333333,2146844,15,15,2146844,8.150095048219585e-06,1.1664655102466617,0.0030833106847964983,9.50680477898025e-06,143122.93333333332,0.210701,4.34672e-06
5,0.01,k1,dynamic,True,1.97797,40034239,52,9,2,15,17840.355555555554,71948,6462,6462,71948,0.3622125119579082,4.032879264987245,1.2086187690889103,1.4607593289939926,11.134014237078304,0.0650435,0.00134651
5,0.01,k1,fixed,True,5.14981,101920973,52,9,2,17,17840.355555555554,1247395,256201,256201,1247395,14.360756387515945,69.91985087492029,31.687567673555726,1004.1019450661738,4.868813939055664,0.415318,0.10472
5,0.01,optk,dynamic,True,1.97797,40034239,52,9,2,15,17840.355555555554,71948,6462,6462,71948,0.3622125119579082,4.032879264987245,1.2086187690889103,1.4607593289939926,11.134014237078304,0.0650435,0.00134651
5,0.01,optk,fixed,True,5.14981,101920973,52,9,2,17,17840.355555555554,1247395,256201,256201,1247395,14.360756387515945,69.91985087492029,31.687567673555726,1004.1019450661738,4.868813939055664,0.415318,0.10472
5,0.1,k1,dynamic,True,1.94043,40034239,52,9,2,15,179131.73333333334,71948,791,791,71948,0.004415744688452744,0.401648544683689,0.04211386265603969,0.0017735774278117744,90.9582806573957,0.00666983,1.62512e-05
5,0.1,k1,fixed,True,2.15129,49468911,52,9,2,15,179131.73333333334,1247395,33165,33165,1247395,0.18514307533822408,6.963562383884336,1.1354538101842455,1.289255355061921,37.61178953716267,0.0519976,0.00136523
5,0.1,optk,dynamic,True,1.8586,40034239,52,9,2,15,179131.73333333334,71948,2,2,71948,1.1164967606707317e-05,0.401648544683689,0.002117638541081675,4.4843929906745245e-06,35974.0,0.0264114,4.96221e-07
5,0.1,optk,fixed,True,1.85584,49468911,52,9,2,15,179131.73333333334,1247395,962,962,1247395,0.005370349418826219,6.963562383884336,0.19338242733313016,0.037396763201253375,1296.6683991683992,0.192302,0.000157798
5,0.5,k1,dynamic,True,1.94763,40034239,52,9,2,15,895294.5777777778,71948,51,51,71948,5.696449109139894e-05,0.08036237656948962,0.002139579838233745,4.577801884176339e-06,1410.7450980392157,0.00133793,4.21959e-07
5,0.5,k1,fixed,True,2.17519,49468911,52,9,2,15,895294.5777777778,1247395,6551,6551,1247395,0.00731714472823048,1.3932788502932467,0.10096941613368998,0.010194822994378254,190.4129140589223,0.0106273,5.48051e-05
5,0.5,optk,dynamic,True,1.8831,40034239,52,9,2,15,895294.5777777778,71948,2,2,71948,2.2339016114274094e-06,0.08036237656948962,0.0004236999439659146,1.7952164251671917e-07,35974.0,0.027727,5.21244e-07
5,0.5,optk,fixed,True,2.24316,49468911,52,9,2,15,895294.5777777778,1247395,2,2,1247395,2.2339016114274094e-06,1.3932788502932467,0.0017642131018779485,3.112447868837812e-06,623697.5,0.200964,5.21244e-07
6,0.01,k1,dynamic,True,26.427,404769960,52,12,2,22,105585.77777777778,4840717,2359175,2359175,4840717,22.343681598531788,45.8462976916083,32.00586005863299,1024.3750780927987,2.0518685557451226,0.309451,0.0901851
6,0.01,k1,fixed,True,21.5998,458566547,52,12,2,21,105585.77777777778,10113808,3179844,3179844,10113808,30.11621514682112,95.78759765625,53.70996089565476,2884.7598994127634,3.1805987966705285,0.426625,0.158614
